date,day_of_week,month,product_name,category,selling_price,stock_before_sale,payment_method,quantity_sold
2025-01-13,Monday,1,Shampoo,Personal Care,180,38,UPI,3
2025-12-13,Saturday,12,Biscuit,Snacks,25,73,UPI,16
2025-04-22,Tuesday,4,Maggi,Grocery,15,69,Cash,17
2025-11-29,Saturday,11,Coffee,Beverage,180,79,UPI,22
2025-03-23,Sunday,3,Cold Drink,Beverage,40,51,UPI,14
2025-06-22,Sunday,6,Juice,Beverage,55,42,UPI,16
2025-05-16,Friday,5,Milk,Dairy,60,80,UPI,14
2025-07-13,Sunday,7,Maggi,Grocery,15,61,Cash,23
2025-07-05,Saturday,7,Soap,Personal Care,40,75,UPI,10
2025-05-29,Thursday,5,Toothpaste,Personal Care,95,38,Card,4
2025-08-21,Thursday,8,Rice,Grocery,70,37,UPI,7
2025-05-17,Saturday,5,Bread,Bakery,35,80,UPI,20
2025-03-25,Tuesday,3,Biscuit,Snacks,25,56,UPI,12
2025-12-19,Friday,12,Juice,Beverage,55,43,Cash,9
2025-01-29,Wednesday,1,Chips,Snacks,20,31,Cash,9
2025-02-03,Monday,2,Rice,Grocery,70,62,Card,6
2025-12-02,Tuesday,12,Milk,Dairy,60,62,Card,17
2025-03-15,Saturday,3,Toothpaste,Personal Care,95,45,Cash,10
2025-10-27,Monday,10,Tea,Beverage,120,61,UPI,16
2025-03-12,Wednesday,3,Butter,Dairy,55,59,UPI,8
2025-02-26,Wednesday,2,Maggi,Grocery,15,77,UPI,17
2025-11-02,Sunday,11,Toothpaste,Personal Care,95,73,Card,15
2025-10-11,Saturday,10,Tea,Beverage,120,84,UPI,16
2025-02-27,Thursday,2,Toothpaste,Personal Care,95,53,UPI,6
2025-05-15,Thursday,5,Maggi,Grocery,15,88,UPI,20
2025-11-17,Monday,11,Juice,Beverage,55,71,UPI,13
2025-03-24,Monday,3,Rice,Grocery,70,78,Card,9
2025-11-03,Monday,11,Juice,Beverage,55,33,UPI,12
2025-06-07,Saturday,6,Milk,Dairy,60,53,Card,18
2025-02-13,Thursday,2,Juice,Beverage,55,32,Card,8
2025-03-06,Thursday,3,Tea,Beverage,120,70,UPI,8
2025-05-16,Friday,5,Tea,Beverage,120,69,UPI,11
2025-10-04,Saturday,10,Bread,Bakery,35,86,Cash,24
2025-09-22,Monday,9,Sugar,Grocery,45,36,UPI,9
2025-01-11,Saturday,1,Maggi,Grocery,15,61,Cash,27
2025-12-29,Monday,12,Maggi,Grocery,15,50,UPI,16
2025-06-19,Thursday,6,Maggi,Grocery,15,68,UPI,16
2025-04-20,Sunday,4,Toothpaste,Personal Care,95,78,Card,12
2025-08-31,Sunday,8,Coffee,Beverage,180,56,UPI,10
2025-08-09,Saturday,8,Maggi,Grocery,15,70,UPI,24
2025-12-11,Thursday,12,Biscuit,Snacks,25,32,UPI,9
2025-02-25,Tuesday,2,Milk,Dairy,60,47,UPI,15
2025-08-05,Tuesday,8,Sugar,Grocery,45,44,UPI,7
2025-02-08,Saturday,2,Cold Drink,Beverage,40,42,UPI,16
2025-01-08,Wednesday,1,Butter,Dairy,55,72,Cash,4
2025-09-06,Saturday,9,Bread,Bakery,35,65,Card,20
2025-01-02,Thursday,1,Bread,Bakery,35,52,Card,16
2025-05-27,Tuesday,5,Chips,Snacks,20,75,Card,11
2025-10-12,Sunday,10,Butter,Dairy,55,52,UPI,14
2025-10-05,Sunday,10,Maggi,Grocery,15,46,Cash,23
2025-09-29,Monday,9,Tea,Beverage,120,31,Card,8
2025-04-06,Sunday,4,Maggi,Grocery,15,47,Cash,23
2025-03-03,Monday,3,Bread,Bakery,35,52,Cash,17
2025-02-11,Tuesday,2,Maggi,Grocery,15,81,Cash,19
2025-05-14,Wednesday,5,Tea,Beverage,120,70,Cash,8
2025-07-22,Tuesday,7,Bread,Bakery,35,76,Cash,14
2025-02-07,Friday,2,Sugar,Grocery,45,55,Cash,6
2025-02-21,Friday,2,Coffee,Beverage,180,57,UPI,3
2025-06-28,Saturday,6,Milk,Dairy,60,61,UPI,18
2025-10-06,Monday,10,Sugar,Grocery,45,75,UPI,14
2025-10-11,Saturday,10,Toothpaste,Personal Care,95,48,UPI,12
2025-10-11,Saturday,10,Maggi,Grocery,15,84,UPI,26
2025-12-18,Thursday,12,Milk,Dairy,60,68,UPI,16
2025-01-27,Monday,1,Cold Drink,Beverage,40,66,UPI,6
2025-01-02,Thursday,1,Milk,Dairy,60,85,UPI,16
2025-03-24,Monday,3,Butter,Dairy,55,62,Cash,7
2025-02-27,Thursday,2,Coffee,Beverage,180,67,Card,3
2025-07-09,Wednesday,7,Tea,Beverage,120,66,UPI,11
2025-06-07,Saturday,6,Maggi,Grocery,15,63,UPI,21
2025-02-22,Saturday,2,Bread,Bakery,35,68,Card,22
2025-05-02,Friday,5,Biscuit,Snacks,25,41,Card,10
2025-06-20,Friday,6,Maggi,Grocery,15,81,Card,19
2025-05-17,Saturday,5,Chips,Snacks,20,56,Card,12
